model,rtol,epoch,params,train_loss,train_accuracy,test_loss,test_accuracy,train_seconds,test_seconds,nfe_mean,peak_memory_mb,adjoint,seed
odenet,0.001,1,19274,1.1869553027470907,0.6049,0.5081571776866913,0.8393,166.96981449999998,15.292106799999999,45.266524520255864,535.55615234375,False,0
odenet,0.001,2,19274,0.3565217200756073,0.90415,0.25303688757419585,0.939,209.46104100000002,18.129118600000027,53.66524520255864,535.46240234375,False,0
odenet,0.001,3,19274,0.1840653096318245,0.9529,0.10528843672275544,0.9718,236.1875225,19.521125799999936,56.62686567164179,581.60205078125,False,0
odenet,0.001,4,19274,0.12557943070133526,0.9658833333333333,0.10932694348692894,0.9714,259.7003095,20.684915199999978,60.04264392324094,581.60205078125,False,0
odenet,0.001,5,19274,0.10348903070688248,0.9712166666666666,0.06272832269370555,0.9833,282.6920540000001,23.89382139999998,61.89765458422175,581.60205078125,False,0
resnet,0.001,1,19338,1.5117098183949789,0.44408333333333333,1.0676813808441161,0.6353,10.534199799999897,0.7243679000000611,0.0,65.6875,False,0
resnet,0.001,2,19338,0.9153722537358602,0.7003166666666667,0.6636023352622986,0.8154,11.173621900000171,0.6342329999999947,0.0,65.6875,False,0
resnet,0.001,3,19338,0.5965038334846496,0.82115,0.41860334758758544,0.8896,9.363324999999804,0.6012484000000313,0.0,65.6875,False,0
resnet,0.001,4,19338,0.4264685187657674,0.8764,0.34343023688793184,0.9101,9.168860199999926,0.6187437999999474,0.0,65.6875,False,0
resnet,0.001,5,19338,0.3358931923389435,0.9039333333333334,0.39324360904693606,0.8751,9.252083599999878,0.6043403999999555,0.0,65.6875,False,0

