model,rtol,epoch,params,train_loss,train_accuracy,test_loss,test_accuracy,train_seconds,test_seconds,nfe_mean,adjoint,seed
resnet,0.001,1,19338,1.4748490942637125,0.4717,1.0275081296920776,0.685,7.4766281,0.5191409,0.0,False,0
resnet,0.001,2,19338,0.852245152314504,0.7275,0.6298288853645325,0.8178,6.884810300000002,0.48844449999999995,0.0,False,0
resnet,0.001,3,19338,0.5845618312199911,0.8205333333333333,0.4423928841590881,0.8761,6.9545706,0.48222200000000015,0.0,False,0
resnet,0.001,4,19338,0.4394245770931244,0.8697333333333334,0.340574512553215,0.9109,7.009233500000004,0.5005111999999983,0.0,False,0
resnet,0.001,5,19338,0.3425538112799327,0.9036333333333333,0.26596543254852295,0.9302,7.174467,0.5136703000000011,0.0,False,0
