model,rtol,epoch,params,train_loss,train_accuracy,test_loss,test_accuracy,train_seconds,test_seconds,nfe_mean,adjoint,seed
odenet,0.001,1,19274,1.1926162173748016,0.60535,0.5106771656036377,0.8421,162.4729886,14.253586600000006,45.59914712153518,False,0
odenet,0.001,2,19274,0.3467302456378937,0.9097833333333334,0.25755454242229464,0.9306,188.21573759999998,15.736127399999987,53.41577825159915,False,0
odenet,0.001,3,19274,0.1836073691725731,0.9536,0.13666352231502532,0.9648,203.75915770000006,17.641835600000036,57.11300639658849,False,0
