epoch,loss
1,0.7259544134140015
2,0.4411311149597168
3,0.38861212134361267
4,0.41716811060905457
5,0.4003228545188904
6,0.3546167314052582
7,0.3174343705177307
8,0.2851180136203766
9,0.2548680007457733
10,0.23147796094417572
11,0.19989928603172302
12,0.17276763916015625
13,0.16103564202785492
14,0.17414897680282593
15,0.2192518562078476
16,0.1599380224943161
17,0.22065956890583038
18,0.11688518524169922
19,0.17870862782001495
20,0.13264240324497223
21,0.11543567478656769
22,0.15226417779922485
23,0.10146670788526535
24,0.12691394984722137
25,0.1297081559896469
26,0.10175597667694092
27,0.10761141777038574
28,0.11943132430315018
29,0.09655294567346573
30,0.10125810652971268
31,0.10967878252267838
32,0.09854479879140854
33,0.09100498259067535
34,0.10068050026893616
35,0.09369369596242905
36,0.0862145945429802
37,0.09202149510383606
38,0.08895363658666611
39,0.08066640794277191
40,0.08485513180494308
41,0.0820309966802597
42,0.0761929601430893
43,0.07990141957998276
44,0.07578103989362717
45,0.0726507157087326
46,0.07553794980049133
47,0.0695519670844078
48,0.07141699641942978
49,0.06924740970134735
50,0.06682262569665909
51,0.06812048703432083
52,0.0641186311841011
53,0.06583055853843689
54,0.062277838587760925
55,0.06362464278936386
56,0.06067093834280968
57,0.061436500400304794
58,0.05932466685771942
59,0.05976060777902603
60,0.057716500014066696
61,0.058190736919641495
62,0.05627914145588875
63,0.05685831978917122
64,0.054857175797224045
65,0.05519333854317665
66,0.05366889759898186
67,0.053486697375774384
68,0.05277896672487259
69,0.05173758417367935
70,0.05175728723406792
71,0.050383277237415314
72,0.050124168395996094
73,0.04944169893860817
74,0.04844086989760399
75,0.04820437356829643
76,0.047223050147295
77,0.04657721519470215
78,0.0461137555539608
79,0.045132704079151154
80,0.0446220301091671
81,0.04399034008383751
82,0.043082159012556076
83,0.0425834059715271
84,0.041867271065711975
85,0.041017502546310425
86,0.040484827011823654
87,0.039734143763780594
88,0.038919027894735336
89,0.038348130881786346
90,0.03759629651904106
91,0.03679754212498665
92,0.036191169172525406
93,0.03545032814145088
94,0.034656696021556854
95,0.03401704132556915
96,0.03329183906316757
97,0.03250127285718918
98,0.03182978555560112
99,0.0311219971626997
100,0.030343255028128624
101,0.029641246423125267
102,0.028949780389666557
103,0.028195377439260483
104,0.027467643842101097
105,0.0267839003354311
106,0.0260663703083992
107,0.025332294404506683
108,0.02464720420539379
109,0.02396645024418831
110,0.023257775232195854
111,0.02256505936384201
112,0.021904349327087402
113,0.02123762108385563
114,0.02056218311190605
115,0.01990327425301075
116,0.019267613068223
117,0.01863691583275795
118,0.01799529232084751
119,0.017372144386172295
120,0.01676919125020504
121,0.016171608120203018
122,0.015580650418996811
123,0.014992594718933105
124,0.014423460699617863
125,0.013870593160390854
126,0.013324882835149765
127,0.01278955303132534
128,0.01226276159286499
129,0.011752652935683727
130,0.011257023550570011
131,0.010777460411190987
132,0.010310358367860317
133,0.009853776544332504
134,0.009413174353539944
135,0.00898489635437727
136,0.008573140017688274
137,0.008175632916390896
138,0.007795277517288923
139,0.0074287098832428455
140,0.007078766822814941
141,0.006744098383933306
142,0.006427486892789602
143,0.006129020359367132
144,0.005860957317054272
145,0.005648735444992781
146,0.0056208036839962006
147,0.006239831447601318
148,0.008992972783744335
149,0.0187083650380373
150,0.025691689923405647
151,0.026442641392350197
152,0.004800159949809313
153,0.016096023842692375
154,0.027114400640130043
155,0.004072858951985836
156,0.021435227245092392
157,0.021707406267523766
158,0.006040812004357576
159,0.02724561095237732
160,0.008543348871171474
161,0.01441256981343031
162,0.012544672936201096
163,0.005863266997039318
164,0.013624689541757107
165,0.004050801508128643
166,0.013368761166930199
167,0.003998262342065573
168,0.009962505660951138
169,0.004489472601562738
170,0.0075009046122431755
171,0.00577558483928442
172,0.00541834207251668
173,0.006206979043781757
174,0.0036908560432493687
175,0.006166092120110989
176,0.003055775770917535
177,0.005916107911616564
178,0.0028860613238066435
179,0.004941349383443594
180,0.0030901406425982714
181,0.00400690408423543
182,0.0035648082848638296
183,0.0031536989845335484
184,0.0038200807757675648
185,0.0025772443041205406
186,0.003671208629384637
187,0.002478756243363023
188,0.0032823507208377123
189,0.002690281253308058
190,0.0027203697245568037
191,0.002885275986045599
192,0.0023132413625717163
193,0.0028355871327221394
194,0.0022304740268737078
195,0.0025679897516965866
196,0.0023556954693049192
197,0.0022278872784227133
198,0.0024333964101970196
199,0.0020538524258881807
200,0.002301897620782256
201,0.0020866047125309706
202,0.0020696124993264675
203,0.0021485835313796997
204,0.0019273647340014577
205,0.002079382538795471
206,0.0019419288728386164
207,0.0019101889338344336
208,0.0019737600814551115
209,0.001820424571633339
210,0.0018884959863498807
211,0.0018398609245195985
212,0.0017684261547401547
213,0.0018258217023685575
214,0.0017392379231750965
215,0.0017330190166831017
216,0.001748457201756537
217,0.0016737619880586863
218,0.0016919260378926992
219,0.0016778148710727692
220,0.0016252282075583935
221,0.001644715084694326
222,0.0016185992863029242
223,0.0015836270758882165
224,0.0015972077380865812
225,0.0015698581701144576
226,0.001543722813948989
227,0.001551084453240037
228,0.0015274788020178676
229,0.0015055725816637278
230,0.0015082558384165168
231,0.0014895581407472491
232,0.0014687787042930722
233,0.0014674827689304948
234,0.0014540660195052624
235,0.0014343546936288476
236,0.0014297175221145153
237,0.0014203398022800684
238,0.0014021795941516757
239,0.0013937933836132288
240,0.0013870466500520706
241,0.0013717901892960072
242,0.0013602556427940726
243,0.0013541695661842823
244,0.0013428331585600972
245,0.0013297675177454948
246,0.001321863615885377
247,0.0013135112822055817
248,0.0013014886062592268
249,0.0012911515077576041
250,0.0012834668159484863
251,0.001273601083084941
252,0.0012629973934963346
253,0.0012544693890959024
254,0.001246282015927136
255,0.0012363853165879846
256,0.0012266244739294052
257,0.0012184075312688947
258,0.0012100436724722385
259,0.0012006586184725165
260,0.0011929786996915936
261,0.001195144490338862
262,0.0011977247195318341
263,0.0011786749819293618
264,0.0011580485152080655
265,0.001154675497673452
266,0.0011554836528375745
267,0.0011433730833232403
268,0.001126383780501783
269,0.0011183236492797732
270,0.0011239310260862112
271,0.001145912567153573
272,0.001146045164205134
273,0.0011086604790762067
274,0.0010781908640637994
275,0.0010816912399604917
276,0.0010950254509225488
277,0.0010864469222724438
278,0.0010596291394904256
279,0.0010405296925455332
280,0.0010398162994533777
281,0.0010451588314026594
282,0.0010397054720669985
283,0.0010223836870864034
284,0.001005748868919909
285,0.0009991117985919118
286,0.0009992873528972268
287,0.0009979939786717296
288,0.0009894486283883452
289,0.0009762002155184746
290,0.0009641481447033584
291,0.0009574150899425149
