model,rtol,epoch,params,train_loss,train_accuracy,test_loss,test_accuracy,train_seconds,test_seconds,nfe_mean,peak_memory_mb,adjoint,seed
odenet,0.001,1,19274,1.1988377921740214,0.6004,0.5477167674064636,0.8425,75.75266705267131,6.381458388641477,41.44776119402985,489.51025390625,False,0
odenet,0.001,2,19274,0.34459387622276944,0.9086666666666666,0.2144689486026764,0.948,83.87011600844562,7.080591594800353,51.05543710021322,535.74365234375,False,0
odenet,0.001,3,19274,0.17902683568795522,0.9537,0.11409910017251969,0.9712,87.85551532357931,7.252162333577871,55.73773987206823,581.78955078125,False,0
odenet,0.001,4,19274,0.12656283882260322,0.96595,0.08876955786943436,0.9759,90.60254641249776,7.557634139433503,58.872068230277186,581.78955078125,False,0
odenet,0.001,5,19274,0.10414439633587996,0.9713166666666667,0.08047319255471229,0.9779,92.30240054056048,7.947316788136959,61.31556503198294,628.02294921875,False,0
odenet,0.001,6,19274,0.08868099801242352,0.9756333333333334,0.08816137771010399,0.9753,91.61083360388875,8.016825057566166,62.30703624733476,628.02294921875,False,0
odenet,0.001,7,19274,0.07777281879285972,0.9780833333333333,0.07175085403472185,0.98,93.36168638430536,8.206758424639702,63.663113006396586,628.02294921875,False,0
odenet,0.001,8,19274,0.07006112539519867,0.9805666666666667,0.06297079617008566,0.9828,96.41089884750545,8.214451471343637,66.31130063965885,674.06884765625,False,0
odenet,0.001,9,19274,0.06463603831082583,0.9817333333333333,0.03935140670537949,0.989,96.29595195874572,8.558716306462884,66.42643923240938,627.92919921875,False,0
odenet,0.001,10,19274,0.0605768037656943,0.9826,0.05161004555672407,0.9853,98.70230436511338,8.81661170348525,68.33262260127931,674.06884765625,False,0
odenet,0.001,11,19274,0.05566989058852196,0.9840166666666667,0.04783904674723744,0.9858,99.02624199911952,8.89186404272914,68.99786780383795,674.06884765625,False,0
odenet,0.001,12,19274,0.04845163177897533,0.98625,0.035028167578578,0.9902,100.45493510738015,9.137214962393045,70.46268656716418,720.20849609375,False,0
odenet,0.001,13,19274,0.045307201952611405,0.9867666666666667,0.034040456533432004,0.9899,101.2188442889601,9.324890859425068,72.28571428571429,720.20849609375,False,0
odenet,0.001,14,19274,0.041520834059268236,0.9879833333333333,0.03750210057869553,0.9872,102.40028033405542,9.176134161651134,73.43070362473348,720.20849609375,False,0
odenet,0.001,15,19274,0.041260309010495745,0.9876666666666667,0.027943816475756465,0.9918,103.41415952704847,9.330596162006259,74.31982942430703,720.20849609375,False,0
odenet,0.001,16,19274,0.03841484998563925,0.9884,0.026421967727318404,0.9925,104.88993885554373,9.475761782377958,74.6588486140725,720.20849609375,False,0
odenet,0.001,17,19274,0.03619869596337279,0.9892833333333333,0.03709286914207041,0.9891,104.39403953589499,9.524513449519873,74.93390191897655,720.20849609375,False,0
odenet,0.001,18,19274,0.03371071463512878,0.9899166666666667,0.03557417703978717,0.9891,106.02630687318742,9.573095569387078,75.74626865671642,720.20849609375,False,0
odenet,0.001,19,19274,0.031864852288054926,0.9907,0.02974955599606037,0.9921,106.090142743662,9.54972898028791,75.73347547974414,720.20849609375,False,0
odenet,0.001,20,19274,0.030785408791092535,0.9905833333333334,0.03306871034130454,0.9909,106.96916721016169,9.648297511041164,76.78251599147121,766.34814453125,False,0
odenet,0.001,21,19274,0.029761806551553308,0.9910833333333333,0.030544311643764376,0.9913,107.76277275197208,10.21605215780437,77.79317697228144,766.34814453125,False,0
odenet,0.001,22,19274,0.02838199085953335,0.9912833333333333,0.033902782274410126,0.9911,108.12993369996548,10.175409814342856,78.05543710021323,766.34814453125,False,0
odenet,0.001,23,19274,0.026284359629576405,0.9920666666666667,0.03963323346171528,0.9882,108.46059773862362,9.864970518276095,78.57356076759062,766.34814453125,False,0
odenet,0.001,24,19274,0.02536389276760941,0.9918666666666667,0.028354873058618977,0.9918,110.08715309947729,10.256155850365758,79.94882729211088,766.34814453125,False,0
odenet,0.001,25,19274,0.024607707092693696,0.9924833333333334,0.031416896530240775,0.9909,109.82609093375504,10.274249380454421,79.68656716417911,766.34814453125,False,0
odenet,0.001,26,19274,0.02368187630729129,0.9927833333333334,0.02268698154594749,0.993,106.66816043294966,9.635211044922471,79.7953091684435,766.34814453125,False,0
odenet,0.001,27,19274,0.02158047668247794,0.9934,0.028300857680710032,0.992,101.93000055290759,5.460818761959672,80.57569296375266,766.34814453125,False,0
odenet,0.001,28,19274,0.022139037392505754,0.9935833333333334,0.028490337191103027,0.992,93.65190488286316,5.410771399736404,81.33049040511727,766.34814453125,False,0
odenet,0.001,29,19274,0.021409685116820037,0.9932,0.023299958992470057,0.9932,93.03945272229612,5.624126071110368,81.04264392324095,766.34814453125,False,0
odenet,0.001,30,19274,0.019104831515625118,0.99415,0.023444471220066772,0.9927,93.7074205968529,5.686024671420455,82.56503198294243,766.34814453125,False,0
resnet,0.001,1,19338,1.473627598953247,0.46395,1.064356781578064,0.6043,2.092045407742262,0.12504256702959538,0.0,88.3740234375,False,0
resnet,0.001,2,19338,0.8996675550778707,0.7029,0.688047435092926,0.7854,2.0839940197765827,0.12768416106700897,0.0,88.3740234375,False,0
resnet,0.001,3,19338,0.6093303291638692,0.80875,0.48334013767242434,0.8538,3.5201058834791183,0.1600348949432373,0.0,88.3740234375,False,0
resnet,0.001,4,19338,0.4721671400547028,0.8541833333333333,0.38692836010456083,0.8886,4.779505902901292,0.15870503336191177,0.0,88.3740234375,False,0
resnet,0.001,5,19338,0.38106272559165955,0.8850333333333333,0.31702315785884855,0.9069,4.644436018541455,0.16228272020816803,0.0,88.3740234375,False,0
resnet,0.001,6,19338,0.32537069188753764,0.9029666666666667,0.33267784872055056,0.9062,4.787285458296537,0.16501091979444027,0.0,88.3740234375,False,0
resnet,0.001,7,19338,0.27471400061448414,0.921,0.22060584313869477,0.942,4.119628377258778,0.15791393630206585,0.0,88.3740234375,False,0
resnet,0.001,8,19338,0.24260080301761627,0.9297166666666666,0.2045137516975403,0.943,4.831458004191518,0.16181503050029278,0.0,88.3740234375,False,0
resnet,0.001,9,19338,0.21627690099875133,0.9378833333333333,0.1691365248441696,0.9543,4.91532750800252,0.1646378505975008,0.0,88.3740234375,False,0
resnet,0.001,10,19338,0.20084668024381003,0.9423666666666667,0.24361082992553712,0.9348,5.149952730163932,0.16411166451871395,0.0,88.3740234375,False,0
resnet,0.001,11,19338,0.18232859792311987,0.9479666666666666,0.20776807024478913,0.9371,4.346593674272299,0.16669114120304585,0.0,88.3740234375,False,0
resnet,0.001,12,19338,0.16907612205743788,0.9518833333333333,0.14024855491518975,0.9603,4.985875220969319,0.16198586486279964,0.0,88.3740234375,False,0
resnet,0.001,13,19338,0.1592293115456899,0.9545,0.1317245385527611,0.9632,5.074064375832677,0.17148439772427082,0.0,88.3740234375,False,0
resnet,0.001,14,19338,0.15022816453973453,0.9569333333333333,0.15345272256135942,0.955,4.865412080660462,0.15946991182863712,0.0,88.3740234375,False,0
resnet,0.001,15,19338,0.134656973640124,0.9610166666666666,0.11213817994594574,0.9688,4.912193017080426,0.16914032027125359,0.0,88.3740234375,False,0
resnet,0.001,16,19338,0.13733137362798056,0.95945,0.10107715691328048,0.9731,5.04619549959898,0.16475981287658215,0.0,88.3740234375,False,0
resnet,0.001,17,19338,0.1265749239106973,0.9634333333333334,0.13005187804698945,0.9633,4.823239803314209,0.16588827036321163,0.0,88.3740234375,False,0
resnet,0.001,18,19338,0.12148379052678744,0.9649333333333333,0.09678092080652714,0.9731,4.762810856103897,0.16009782068431377,0.0,88.3740234375,False,0
resnet,0.001,19,19338,0.11440528749128183,0.96635,0.1421496573150158,0.9571,4.877721076831222,0.1615845076739788,0.0,88.3740234375,False,0
resnet,0.001,20,19338,0.1131510753184557,0.9668833333333333,0.1349731842339039,0.9596,4.846645371988416,0.16975705511868,0.0,88.3740234375,False,0
resnet,0.001,21,19338,0.10889265405337016,0.9685666666666667,0.14617138786315917,0.9553,4.86454888805747,0.15880211628973484,0.0,88.3740234375,False,0
resnet,0.001,22,19338,0.10573532379368941,0.9693833333333334,0.10549047952294349,0.9693,4.888633081689477,0.1770054940134287,0.0,88.3740234375,False,0
resnet,0.001,23,19338,0.09771003863612811,0.9719,0.11042347180247307,0.9666,4.891102151945233,0.1628757230937481,0.0,88.3740234375,False,0
resnet,0.001,24,19338,0.09672498245537281,0.9717166666666667,0.09553232086598873,0.9727,5.075313655659556,0.16408894769847393,0.0,88.3740234375,False,0
resnet,0.001,25,19338,0.09435503295461337,0.97235,0.08983686430826783,0.9723,4.636677384376526,0.16101970709860325,0.0,88.3740234375,False,0
resnet,0.001,26,19338,0.09094496896763643,0.9735,0.10340353859215975,0.9683,4.854670787230134,0.17002529837191105,0.0,88.3740234375,False,0
resnet,0.001,27,19338,0.0897419794028004,0.9735,0.09488709689378738,0.9708,4.565782979130745,0.16089820861816406,0.0,88.3740234375,False,0
resnet,0.001,28,19338,0.0872336123764515,0.9741166666666666,0.10196824538707733,0.9692,4.821529204025865,0.1639700960367918,0.0,88.3740234375,False,0
resnet,0.001,29,19338,0.08291423934797446,0.97535,0.08697112246006727,0.9734,4.658936841413379,0.15814470127224922,0.0,88.3740234375,False,0
resnet,0.001,30,19338,0.08367606792847315,0.9752666666666666,0.07819845968335867,0.9754,5.025518836453557,0.16295443661510944,0.0,88.3740234375,False,0
