model,rtol,epoch,params,train_loss,train_accuracy,test_loss,test_accuracy,train_seconds,test_seconds,nfe_mean,peak_memory_mb,adjoint,seed
odenet,0.001,1,19274,1.285551575088501,0.5644,0.5784955935955047,0.8196,168.0971348,15.224746600000003,41.62686567164179,489.41650390625,False,1
odenet,0.001,2,19274,0.3361453231573105,0.9154833333333333,0.27559806361198425,0.9249,209.74991339999997,17.484000699999967,49.61620469083156,489.41650390625,False,1
odenet,0.001,3,19274,0.18597969137032827,0.9496166666666667,0.17033125709295271,0.9508,205.08416119999993,15.26822119999997,50.0,489.41650390625,False,1
odenet,0.001,4,19274,0.1423279554605484,0.9605833333333333,0.10223328682780265,0.9756,192.49308989999997,16.349961500000063,51.59275053304904,535.55615234375,False,1
odenet,0.001,5,19274,0.11393523749907812,0.9676,0.17366007678508757,0.9457,203.70711289999997,16.694643699999915,55.488272921108745,535.46240234375,False,1
resnet,0.001,1,19338,1.4988161587397257,0.45516666666666666,1.0658056866645813,0.6595,7.9746313000000555,0.5382985999999619,0.0,65.6875,False,1
resnet,0.001,2,19338,0.8807061104456584,0.7103,0.6157455460548401,0.8297,7.9848279000000275,0.5456901000000016,0.0,65.6875,False,1
resnet,0.001,3,19338,0.5568540156841278,0.8274833333333333,0.39244279789924624,0.8931,7.911996799999997,0.5347254999999222,0.0,65.6875,False,1
resnet,0.001,4,19338,0.4108607535998027,0.8749,0.3153044981956482,0.9143,7.938668900000039,0.5244276000000809,0.0,65.6875,False,1
resnet,0.001,5,19338,0.31996096384525297,0.9062333333333333,0.24024637944698335,0.9335,7.9627640999999585,0.5297745000000305,0.0,65.6875,False,1

