model,rtol,epoch,params,train_loss,train_accuracy,test_loss,test_accuracy,train_seconds,test_seconds,nfe_mean,peak_memory_mb,adjoint,seed
odenet,0.001,1,19274,2.2289988875389097,0.1875,2.1692159175872803,0.1921875,3.3814816999999997,1.3884307000000007,38.0,397.23095703125,False,0
odenet,1e-05,1,19274,2.294682192802429,0.16015625,2.234208405017853,0.18671875,2.9223602,1.3859455,38.9,443.27685546875,False,0
odenet,1e-07,1,19274,2.2498635768890383,0.16015625,2.155251884460449,0.1921875,3.019157699999999,1.3812659000000025,39.2,443.27685546875,False,0
